District Name,Neighborhood Name,2015 Total Number of Stores,2015 Franchise Stores,2015 General Stores,16 Total Number of Stores,16 Franchise Stores,16 General Stores,17 Total Number of Stores,17 Franchise Stores,17 General Stores,Q2-18 Total Number of Storesa,Q2-18 Franchise Storesb,Q2-18 General Storesc,Q2-19 Total Number of Storesd,Q2-19 Franchise Storese,Q2-19 General Storesf,% Change in Total Number of Storesg,% Change in Total Number Franchise Storesh,% Change in Residential Pop (2015-2019) i,% Change in Work Population (2015-2019) j ,Q2-15 Residential Population (persons per square mile) k ,Q2-15 Work Population (persons per square mile) l,Q2-16 Residential Population (persons per square mile) m,Q2-16 Work Population (persons per square mile) n,Q2-17 Residential Population (persons per square mile) o,Q2-17 Work Population (persons per square mile) p,Q2-18 Residential Population (persons per square mile) q,Q2-18 Work Population (persons per square mile) r,Q2-19 Residential Population (persons per square mile) s,Q2-19 Work Population (persons per square mile) t,Q2-15 Number of Households,Q2-16 Number of Households x,Q2-17 Number of Households y,Q2-18 Number of Households z,Q2-19 Number of Households z,Q2-15 Monthly rent per 3.3 meters squared (KRW) a,Q2-16 Monthly rent per 3.3 meters squared (KRW) b,Q2-17 Monthly rent per 3.3 meters squared (KRW) c,Q2-18 Monthly rent per 3.3 meters squared (KRW) d,Q2-19 Monthly rent per 3.3 meters squared (KRW) e,% Change in Monthly Rent (2015-2019) f,Q2-15 Business Openings g,Q2-15 Business Closing h,Q2-15 Opening Rate (Percent) i,Q2-15 Closing Rate (Percent) j,Q2-16 Business Openings k,Q2-16 Business Closing l,Q2-16 Opening Rate (Percent) m,Q2-16 Closing Rate (Percent) n ,Q2-17 Business Openings o,Q2-17 Business Closing p ,Q2-17 Opening Rate (Percent) q,Q2-17 Closing Rate (Percent) r,Q2-18 Business Openings s,Q2-18 Business Closing t,Q2-18 Opening Rate (Percent) u,Q2-18 Closing Rate (Percent) v,Q2-19 Business Openings x,Q2-19 Business Closing x,Q2-19 Opening Rate (Percent) w,Q2-19 Closing Rate (Percent) z,Q2-15 Number of Households x,Q2-19 Number of Households b
Yongsan-gu,Hyochang-dong,365,21,344,354,21,333,340,22,318,337,20,317,324,20,304,-0.112328767,-0.047619048,-0.005128205,0.025641026,50504.805,10100.961,42475.836,11913.954,51540.801,11654.955,48432.813,10100.961,50245.806,10359.96,"3,644","3,109","3,817","3,653","3,850","87,635",,"121,254","103,311","95,238",0.09,11,10,3,2.7,9,9,2.5,2.5,5,6,1.5,1.8,10,9,3,2.7,5,5,1.5,1.5,"3,644","3,850"
Yongsan-gu,Yongmun-dong,524,30,494,544,29,515,556,31,525,545,33,512,539,36,503,0.028625954,0.2,0.147582697,0.233333333,101786.607,7769.97,100232.613,8287.968,113441.562,8546.967,115254.555,9582.963,116808.549,9582.963,"4,550","4,574","5,220","5,397","5,509",,"71,105","76,793","98,513",,,22,16,4.2,3.1,21,16,3.9,2.9,21,18,3.8,3.2,19,21,3.5,3.9,12,10,2.2,1.9,"4,550","5,509"
Yongsan-gu,Hangangnodong,"5,486",184,"5,302","5,312",187,"5,125","5,183",182,"5,001","5,162",196,"4,966","5,007",192,"4,815",-0.087313161,0.043478261,0.586206897,0.211428571,7510.971,45324.825,6992.973,44029.83,11654.955,45065.826,12172.953,54130.791,11913.954,54907.788,"5,010","4,766","7,809","8,256","8,257","86,216","96,438","97,431","100,772","122,383",0.42,124,153,2.3,2.8,109,141,2.1,2.7,112,132,2.2,2.5,130,139,2.5,2.7,81,92,1.6,1.8,"5,010","8,257"
Yongsan-gu,Ichon 1(il)-dong,809,70,739,819,77,742,814,73,741,797,68,729,794,74,720,-0.018541409,0.057142857,0.057377049,0.25,31597.878,2071.992,32633.874,2330.991,33410.871,2589.99,33669.87,2589.99,33410.871,2589.99,"8,873","9,778","10,011","10,089","10,046","223,941","218,880","177,561","219,110","217,388",-0.03,28,16,3.5,2,24,19,2.9,2.3,25,28,3.1,3.4,14,19,1.8,2.4,17,14,2.1,1.8,"8,873","10,046"
Yongsan-gu,Ichon 2(i)-dong,246,10,236,238,9,229,243,12,231,237,11,226,213,11,202,-0.134146341,0.1,-0.085365854,1,21237.918,517.998,20460.921,776.997,19942.923,776.997,19683.924,1035.996,19424.925,1035.996,"4,200","3,928","3,852","3,831","3,828",,,,"106,819",,,4,10,1.6,4.1,4,7,1.7,2.9,7,5,2.9,2.1,2,6,0.8,2.5,4,13,1.9,6.1,"4,200","3,828"
Yongsan-gu,Itaewon,2431,114,2317,,,,,,,,,,2441,107,2334,0.004113534,-0.061403509,-0.125,0.304348,,,,,,,,,,,,,,,,,,,,,0.19,130,81,,,106,93,,,94,99,,,85,87,,,72,100,,,,"8,688"
Yongsan-gu,Itaewon 1(il)-dong,"1,774",77,"1,697","1,808",78,"1,730","1,809",80,"1,729","1,766",79,"1,687","1,721",69,"1,652",-0.029875986,-0.103896104,-0.125,0.147727273,35223.864,22791.912,32633.874,24086.907,31856.877,25381.902,30820.881,25640.901,30820.881,26158.899,"4,417","3,910","3,828","3,771","3,739","164,647","136,913","174,060","154,567","196,484",0.19,79,54,4.5,3,64,73,3.5,4,52,57,2.9,3.2,53,61,3,3.5,43,63,2.5,3.7,"4,417","3,739"
Yongsan-gu,Itaewon 2(i)-dong,657,37,620,733,47,686,741,44,697,739,42,697,720,38,682,0.095890411,0.027027027,-0.1,0.304347826,31079.88,5956.977,28748.889,8028.969,27971.892,7510.971,27712.893,7769.97,27971.892,7769.97,"5,432","4,921","4,856","4,888","4,949","133,130","91,704","150,627","178,592","136,922",0.03,51,27,7.8,4.1,42,20,5.7,2.7,42,42,5.7,5.7,32,26,4.3,3.5,29,37,4,5.1,"5,432","4,949"
Yongsan-gu,Hannam-dong,"1,696",83,"1,613","1,778",90,"1,688","1,853",94,"1,759","1,903",95,"1,808","1,927",86,"1,841",0.13620283,0.036144578,-0.015384615,0.186046512,16834.935,11136.957,15798.939,12172.953,17093.934,12690.951,16575.936,12949.95,16575.936,13208.949,"10,699","10,354","11,049","10,913","11,065","90,949","113,640","120,501","124,620","126,239",0.39,61,58,3.6,3.4,86,47,4.8,2.6,84,46,4.5,2.5,78,61,4.1,3.2,71,52,3.7,2.7,"10,699","11,065"
Yongsan-gu,Seobinggo-dong,277,15,262,282,14,268,287,16,271,269,16,253,280,19,261,0.010830325,0.266666667,0.016666667,-0.045454545,15539.94,5697.978,12690.951,5697.978,16316.937,5438.979,15798.939,5438.979,15798.939,5438.979,"5,134","4,508","5,305","5,252","5,237",,,,"71,813","115,843",,9,7,3.2,2.5,11,4,3.9,1.4,9,11,3.1,3.8,6,8,2.2,3,7,4,2.5,1.4,"5,134","5,237"
Yongsan-gu,Bogwang-dong,639,43,596,646,43,603,657,40,617,643,42,601,635,41,594,-0.006259781,-0.046511628,-0.086021505,0.571428571,48173.814,1812.993,46101.822,2589.99,45065.826,2589.99,43511.832,2848.989,44029.83,2848.989,"8,205","8,017","7,887","7,692","7,797","84,304","75,131","77,435","81,861","75,109",-0.11,28,21,4.4,3.3,25,28,3.9,4.3,15,24,2.3,3.7,16,14,2.5,2.2,13,11,2,1.7,"8,205","7,797"
